text,class,mpr
"Over the projection horizon, growth in US household consumption is expected to moderate, as savings return to a more sustainable level.",2,2007-04-26
"The depreciation of the US dollar in real effective terms since 2002, as well as a further expected depreciation of about 8 per cent over the projection horizon, should continue to stimulate US net exports.",2,2007-04-26
"Strong foreign demand should further support US exports, contributing to a gradual reduction in the US current account deficit.",3,2007-04-26
Futures prices for crude oil and natural gas over the projection period are higher than those in the January Update.,2,2007-04-26
They indicate that crude oil prices will move up from their current level of about US$63 per barrel to US$70 per barrel by early 2008 and then stay there for the remainder of next year and through 2009.,2,2007-04-26
"The price index for non-energy commodities is high and is expected to remain higher than projected in January, before declining gradually over the projection period.",2,2007-04-26
"In particular, while strong global demand is boosting metals prices, these prices are expected to decrease slowly as increases in global capacity come online.",2,2007-04-26
"Lumber prices are likely to ease over the remainder of this year, given the projected weakness of US housing activity.",2,2007-04-26
"On the other hand, prices for grains and oilseeds are anticipated to remain strong for some time as a result of the surging demand for biofuels.",2,2007-04-26
"In Canada, final domestic demand is expected to continue to be the primary engine of growth over the projection period, growing at a robust, though more moderate, pace than in 2005 and 2006.",3,2007-04-26
"Consumer spending is expected to grow solidly over the projection period, reflecting further gains in real disposable income and increases in household net worth.",3,2007-04-26
"Housing investment, after reaching a very high level last year, is projected to decline slightly in 2007 and 2008 and then to steady out in 2009.",2,2007-04-26
"Gains in business investment are expected to remain strong in 2007 and 2008, with growth averaging just over 5 per cent.",3,2007-04-26
"Factors contributing to higher investment spending this year and next include near-term pressures on production capacity, expectations of relatively strong global economic growth and high levels for most commodity prices, ongoing supportive financial conditions, and generally strong profit levels with solid balance sheets.",3,2007-04-26
"However, capital spending in the oil and gas industry is expected to ease somewhat in the near term, owing to a weaker outlook for gas drilling.",2,2007-04-26
"In 2009, overall growth in investment is projected to ease as a result of the anticipated moderation in global economic growth and lower prices for non-energy commodities.",2,2007-04-26
"In the base-case projection, it is assumed that the government sector will run balanced budgets throughout the projection period, and that the real growth of government spending on goods and services will decelerate to average just under 3 per cent through 2009.",2,2007-04-26
"As growth in US domestic demand slows through mid-2007, Canadian exports are expected to ease slightly in the first half of 2007.",2,2007-04-26
"But with the projected subsequent strengthening of US growth, Canada's exports should pick up over the remainder of the projection period.",3,2007-04-26
"In contrast, further substantial increases in investment in machinery and equipment should contribute to continued strong growth in imports throughout 2007 and 2008.",2,2007-04-26
"Hence, net exports are projected to exert a slightly greater drag on overall growth in 2007 than projected in the January Update, with this drag diminishing over the course of the year.",2,2007-04-26
"In the Bank's base-case projection, economic growth increases through 2007, with quarterly growth averaging just below 2 1/2 per cent in the first half of the year and just above 2 1/2 per cent in the second half.",2,2007-04-26
"This implies average annual growth for 2007 of 2.2 per cent, slightly lower than in the January Update, largely reflecting the impact of the weaker US economic outlook on Canadian export growth.",1,2007-04-26
"For 2008 and 2009, GDP growth is projected at 2.7 per cent.",2,2007-04-26
"In the base-case scenario for Canada, the assumption for potential output growth in both 2007 and 2008 remains unchanged at 2.8 per cent.",2,2007-04-26
"For 2009, growth of the labour supply is assumed.",2,2007-04-26
"to ease slightly by 0.1 per cent from 1.25 per cent in 2007 and 2008, implying potential growth of about 2.7 per cent.",2,2007-04-26
This 0.1 percentage point reduction in potential growth in 2009 reflects the Governing Council's judgment regarding the impact on the labour force of increased retirements as the first members of the baby-boom generation enter their early sixties.,2,2007-04-26
"With these growth profiles for GDP and potential growth, the economy would move back to its production capacity in the second half of 2007 and stay there for the remainder of the projection period.",2,2007-04-26
"In this base-case projection, it is chiefly the recent slowdown and subsequent pickup of the US economy that bring aggregate supply and demand in Canada back into balance and keep them there.",2,2007-04-26
"The Bank's projection is that core inflation will remain above 2 per cent in the coming months, but return to 2 per cent by the end of 2007 and stay there for the rest of the projection period.",2,2007-04-26
"With medium - and longer-term expectations of inflation well anchored, the inflation projection largely reflects the combined influence of the balance between aggregate demand and supply, and relative price developments.",2,2007-04-26
"Excess demand through late 2006 and into 2007, combined with the projected momentum in core food prices, is expected to keep core inflation above 2 per cent in the near term.",2,2007-04-26
"But two factors are expected to bring core inflation back to 2 per cent, despite a projected lessening of the downward pressure from import prices.",2,2007-04-26
"First, the upward pressure coming from the economy operating slightly above its potential output is expected to dissipate, since excess demand is projected to be eliminated in the second half of 2007.",2,2007-04-26
"Second, the significant contribution to inflation coming from housing price increases is expected to continue to decline.",2,2007-04-26
"The projected path for the 12-month rate of increase in the total CPI reflects both the slightly higher projected track for core inflation in 2007 and expectations for energy prices, as well as changes in indirect taxes.",2,2007-04-26
Total CPI inflation is expected to be 1.9 per cent in the second quarter of 2007.,2,2007-04-26
"With the direct effect of the GST cut ending in July 2007, upward-sloping futures curves for crude oil and natural gas prices and marked year-over-year increases in gasoline prices, total CPI inflation is projected to move up in the second half of 2007, peaking in the fourth quarter of 2007 at about 2.8 per cent.",2,2007-04-26
"Thereafter, total CPI inflation is expected to decline, returning to the 2 per cent target by mid-2008 and staying there for the remainder of the projection period.",2,2007-04-26
"This inflation projection is consistent with an unchanged target for the overnight interest rate, largely because the impact of the current slowdown in US GDP growth on the Canadian economy is sufficient to bring total demand for goods and services in Canada back into line with supply.",2,2007-04-26
There are both upside and downside risks to the Bank's base-case outlook for inflation.,2,2007-04-26
The upside risk is that the recent strength in inflation could prove to be more persistent than is envisaged in the base-case projection.,3,2007-04-26
Pressures on capacity may be greater than judged and may be more persistent than projected.,2,2007-04-26
The observed strength in household credit growth and broad money growth in Canada continues to point to this upside risk.,3,2007-04-26
There is also a risk of greater international price pressures.,1,2007-04-26
"The downward pressure on the core inflation rate from decreases in the prices of internationally traded manufactured goods could diminish more quickly than projected, especially if global growth continues to come in stronger than expected.",1,2007-04-26
Global food and energy prices could also boost inflation more than projected in the base case.,2,2007-04-26
The downside risk to the outlook for Canadian growth and inflation continues to be that growth in the US economy could be lower than expected.,1,2007-04-26
"This arises from the possibility of an even more pronounced slowdown in residential and business investment in the United States, which could spill over into weaker consumption growth.",1,2007-04-26
Weaker growth in domestic demand in the United States would further reduce demand for Canadian exports and would lower inflation relative to the base-case projection.,1,2007-04-26
"The Bank continues to judge that the risks to its inflation projection are roughly balanced, although there is now a slight tilt to the upside.",2,2007-04-26
"Finally, from a longer-term perspective, there remains a small probability of a disorderly resolution of global imbalances.",2,2007-04-26
"While the improving balance in the global distribution of domestic demand will be helpful in supporting necessary adjustment, further policy actions are required internationally to facilitate an orderly resolution of global imbalances.",2,2007-04-26
Economic growth and inflation in Canada in the first half of this year have been stronger than expected in the April Monetary Policy Report.,3,2007-07-12
"Final domestic demand has remained the key driver of economic growth in Canada, bolstered by firm commodity prices.",2,2007-07-12
The Bank judges that the economy is now operating further above its production potential than was projected at the time of the April Report.,2,2007-07-12
Both total CPI and core inflation have been higher than projected in April and are above the 2 per cent inflation target.,2,2007-07-12
"Longer-term interest rates have increased, and the Canadian dollar has appreciated sharply, moving well above the trading range assumed in the last Report.",2,2007-07-12
"The Canadian economy is now projected to grow by 2.5 per cent in 2007, somewhat stronger than was expected in April, and to grow somewhat more slowly in 2008 and 2009 than previously projected.",3,2007-07-12
"In this new projection, higher interest rates across the yield curve and a higher assumed range for the Canadian dollar of 93 to 95.5 cents US act to moderate growth in 2008 and 2009 to an average of about 2 1/2 per cent.",2,2007-07-12
This brings aggregate demand and supply back into balance in 2009.,2,2007-07-12
Inflation is projected to be slightly higher and more persistent than in the April Report.,2,2007-07-12
"However, as excess demand diminishes, total CPI and core inflation should decline to 2 per cent by early 2009.",2,2007-07-12
"Also contributing to the decline in inflation are greater downward pressure on import prices related to the stronger Canadian dollar, and continued deceleration in the pace of price increases for new houses.",2,2007-07-12
"With the direct effect of the GST cut ending and the impact of the temporary easing in gasoline prices in late 2006, total inflation is projected to peak at about 3 per cent in the fourth quarter of this year.",2,2007-07-12
The Bank's new projection for inflation is subject to both upside and downside risks.,2,2007-07-12
"The main upside risk is that household demand in Canada could be stronger than projected, which could attenuate the downward pressure on inflation from lower import prices and from the deceleration in the pace of price increases for new houses.",3,2007-07-12
Higher levels of household borrowing and broad money growth point to this risk.,2,2007-07-12
"On the downside, the adjustment in the Canadian economy to the rapid appreciation of the Canadian dollar may dampen demand for Canadian goods and services and reduce inflationary pressures more than projected.",1,2007-07-12
"As well, the ongoing adjustment in the US housing sector could be more prolonged, and this could spill over to the US economy more broadly, further dampening Canadian exports.",2,2007-07-12
"Overall, the upside and downside risks to the Bank's projection for inflation appear to be roughly balanced.",2,2007-07-12
"In line with this outlook, the Bank of Canada raised its key policy interest rate to 4.5 per cent on 10 July.",2,2007-07-12
Some modest further increase in the overnight rate may be required to bring inflation back to target over the medium term.,2,2007-07-12
Economic growth outside North America has generally been more robust than expected at the time of the April Report.,2,2007-07-12
"Emerging-market economies, particularly China and India, continue to outperform expectations.",2,2007-07-12
"Over the past few months, the economic expansion in Europe and Japan has also been stronger than anticipated, with further strengthening in domestic demand.",3,2007-07-12
The US economy has evolved essentially in line with expectations.,2,2007-07-12
"Following a weaker-than-anticipated first quarter, growth looks to have rebounded in the second quarter.",2,2007-07-12
"Activity in the housing sector continues to decrease, but business investment appears to be regaining momentum.",2,2007-07-12
"Moreover, growth in household consumption has remained firm, suggesting that there has been no significant spillover from the ongoing adjustment in the housing sector.",2,2007-07-12
"In general, most of the recent data have been consistent with a return of the economy to near potential growth, while US inflation has moderated somewhat.",2,2007-07-12
"With ongoing strength in global demand and concerns about supplies, oil prices have moved higher.",2,2007-07-12
"Other commodity prices have generally remained high, largely in line with the assumptions in the April Report.",2,2007-07-12
"In Canada, economic growth picked up markedly in the first quarter of 2007, with real GDP increasing at an annual rate of 3.7 per cent.",3,2007-07-12
This was stronger than the 2.5 per cent growth projected in the April Report.,3,2007-07-12
"In spite of the weak growth in the US economy in the first quarter of 2007, Canada's export volumes were higher than expected.",3,2007-07-12
Inventory investment was also higher than projected.,2,2007-07-12
Final domestic demand continued to be the key driver of economic growth in Canada in the first quarter.,2,2007-07-12
"Real personal disposable income rose substantially, owing mainly to strong growth in employment.",3,2007-07-12
"The net worth of households also continued to rise, partly reflecting the impact of the strength in Canada's terms of trade.",3,2007-07-12
This was accompanied by further strong growth in household credit.,3,2007-07-12
These developments underpinned a considerable increase in household spending.,3,2007-07-12
"Furthermore, the inventory correction that had been a significant drag on growth in the last half of 2006 was completed by early 2007.",2,2007-07-12
"Based on available information, real GDP appears to have increased at an annual rate of 2.8 per cent in the second quarter of 2007, higher than the 2.3 per cent rate projected in the April Report.",2,2007-07-12
"In particular, both consumer spending and exports showed strong momentum early in the quarter.",3,2007-07-12
Several indicators suggest that the amount of excess demand in the Canadian economy increased in the second quarter of 2007 relative to that expected at the time of the April Report.,2,2007-07-12
"In the Bank's latest Business Outlook Survey, the percentage of companies reporting that they would have difficulty in meeting an unanticipated increase in demand rose to the highest level since mid-2000.",2,2007-07-12
"The Bank's conventional measure of the output gap indicates that the economy was operating about 0.6 per cent above its production capacity in the second quarter of 2007, noticeably higher than projected in the April Report.",2,2007-07-12
"A number of indicators continue to suggest tightness in labour markets, and measures of underlying labour costs have increased somewhat.",2,2007-07-12
"The employment-to-population ratio is at a record high, and the unemployment rate is at a 33-year low.",2,2007-07-12
"However, the percentage of firms reporting labour shortages in the recent Business Outlook Survey declined.",3,2007-07-12
"After reviewing all the indicators of capacity pressures, the Governing Council judges that, overall, the economy was operating about half a per cent above its production capacity in the second quarter of 2007.",2,2007-07-12
Inflation has been higher than projected in the April Report and the January Update.,2,2007-07-12
This is consistent with evidence of greater excess demand in the Canadian economy.,2,2007-07-12
It also reflects some relative price movements.,2,2007-07-12
The 12-month rate of increase in the total CPI moved up from 1.8 per cent in the first quarter of 2007 to 2.2 per cent in April and May.,2,2007-07-12
This higher-than-projected rise in the total CPI resulted from the higher-than-expected core rate of inflation and from further increases in the prices of some of the volatile components.,2,2007-07-12
"Gasoline prices were higher, chiefly because of refinery closures and unexpected strength in demand.",2,2007-07-12
Fruit and vegetable prices were also higher.,1,2007-07-12
"The core rate of inflation averaged 2.4 per cent in April and May, 0.2 percentage points higher than projected for the second quarter in the April Report.",2,2007-07-12
"The rate of increase in the prices for core services excluding shelter has risen, reflecting strong demand pressures.",1,2007-07-12
Prices and markups for clothing and other semi-durable goods have also been higher than expected.,2,2007-07-12
"Increases in shelter costs, while remaining relatively high, have continued to ease, largely as expected, reflecting a deceleration in price increases for new houses.",2,2007-07-12
"Since the April Report, longer-term interest rates have increased in many economies.",2,2007-07-12
"The increase largely reflects expectations of higher real interest rates, consistent with the outlook for continued strong global economic growth.",2,2007-07-12
Expectations for policy rates have also generally moved up.,2,2007-07-12
"In Canada, growth in household credit remains robust, and growth in business credit has moved above its historical average since the April Report.",3,2007-07-12
Monetary aggregates have also grown robustly.,3,2007-07-12
"The Canadian dollar has appreciated sharply, trading between 93 and 95.5 cents US since the May policy announcement.",2,2007-07-12
The current value of the Canadian dollar is well above the range of 86.5 to 89.5 cents US assumed in the projection in the April Report.,2,2007-07-12
Much of this appreciation reflects the strength of demand for Canadian goods and services and continuing firm commodity prices.,2,2007-07-12
"However, the currency appears to have moved more strongly in response to these factors than historical experience would suggest.",2,2007-07-12
"The Bank's base-case projection incorporates the following key assumptions: a gradual and orderly resolution of global imbalances, energy prices evolving in line with current futures prices, and a Canada/US exchange rate in the range of 93 to 95.5 cents US observed since the May policy announcement.",2,2007-07-12
"The outlook for the global economy is slightly stronger than in the April Report, with growth expected to remain robust over the next three years.",2,2007-07-12
"Some deceleration is still expected, as global excess supply is reduced and as the impact of ongoing monetary policy tightening is felt.",2,2007-07-12
"Global economic growth is projected to ease from 5.0 per cent in 2007 to 4.8 per cent in 2008, and to 4.6 per cent in 2009.",2,2007-07-12
The projection for the US economy is little changed from that in the April Report.,2,2007-07-12
GDP growth is expected to slow from about 3.3 per cent in 2006 to about 2.1 per cent in 2007.,1,2007-07-12
Lower residential investment is likely to continue to reduce GDP growth over the coming quarters.,2,2007-07-12
"However, US exports should be supported by stronger growth in domestic demand in other countries and by a depreciating US dollar, and business investment is picking up.",2,2007-07-12
GDP growth is projected to be about 3 per cent in 2008 and 2009.,2,2007-07-12
Futures prices for crude oil have increased relative to those in the April Report.,2,2007-07-12
The price index for non-energy commodities is at a high level and is still expected to ease gradually over the projection period.,2,2007-07-12
"In the Bank's projection for Canada, GDP growth is somewhat stronger in 2007 and somewhat weaker in 2008 and 2009 than was projected in the April Report.",2,2007-07-12
Quarterly growth is expected to average about 2 3/4 per cent at annual rates for the final three quarters of this year and about 2 1/2 per cent through 2008 and 2009.,2,2007-07-12
"Final domestic demand in Canada is expected to remain the key driver of economic growth over the projection period, supported by the strength of Canada's terms of trade and high levels of employment.",2,2007-07-12
Growth in investment in machinery and equipment should continue to boost imports.,2,2007-07-12
"Although the gradual strengthening of the US economy over the projection period is supportive of Canadian exports, export growth is expected to be weaker than previously projected owing to the higher Canadian dollar.",2,2007-07-12
"On balance, net exports are expected to subtract from growth in 2008 and 2009.",2,2007-07-12
"Compared with the April Report, this projection includes higher interest rates across the yield curve and a higher exchange rate, both of which act to moderate growth and bring aggregate demand and supply in Canada back into balance in 2009.",2,2007-07-12
The projection for core inflation for 2007 and 2008 is slightly higher than in the April Report.,2,2007-07-12
Greater excess demand than was expected in April is projected to keep core inflation above 2 per cent for a longer period.,2,2007-07-12
But three factors should bring core inflation back to 2 per cent by early 2009.,2,2007-07-12
"First, with economic activity moderating somewhat in 2008 and 2009, excess demand pressures are slowly worked off.",3,2007-07-12
"Second, with the stronger Canadian dollar, downward pressure on inflation from lower import prices is expected to be a little greater than earlier projected.",3,2007-07-12
"And finally, the contribution to inflation coming from price increases for new houses is expected to continue to decline.",2,2007-07-12
"The projected path for the 12-month rate of increase in the total CPI reflects the revised outlook for the core rate, expectations for energy prices, and the effect of past changes in indirect taxes.",2,2007-07-12
"With the higher futures prices for oil and the direct effect of the GST cut on inflation ending, total CPI inflation is projected to rise further in the second half of this year.",2,2007-07-12
"Considerable year-over-year increases in gasoline prices, owing partly to the impact of the temporary easing in gasoline prices in late 2006, will cause total CPI inflation to peak in the fourth quarter at about 3 per cent.",2,2007-07-12
"CPI inflation is then expected to decline, reaching the 2 per cent target by early 2009.",3,2007-07-12
There have been a number of significant economic and financial developments since the time of the July Monetary Policy Report Update.,2,2007-10-18
"Against a backdrop of robust global economic expansion and strong commodity prices, growth in the Canadian economy has been stronger than projected with considerable momentum in domestic demand.",3,2007-10-18
The economy is now operating further above its production potential than had been previously expected.,2,2007-10-18
"The core rate of inflation, which has been above 2 per cent for the past year, was 2.2 per cent in August.",2,2007-10-18
"Total consumer price inflation fell temporarily in August to 1.7 per cent, having been above the 2 per cent inflation target since the spring.",2,2007-10-18
"Since the July Update, the outlook for the US economy has weakened because of greater-than-expected slowing in the housing sector.",2,2007-10-18
The Bank has revised down its projection for US GDP growth to 1.9 per cent in 2007 and 2.1 per cent in 2008.,1,2007-10-18
US growth is expected to pick up to 3 per cent in 2009.,3,2007-10-18
"The Canadian dollar generally traded in a range of 93 to 95.5 cents US in July and August, but since then it has appreciated sharply to as high as US$1.03.",2,2007-10-18
"In the Bank's new base-case projection, the Canadian dollar is assumed to average 98 cents US, the midpoint of the range since the July Update.",2,2007-10-18
"As well, there has been a tightening of credit conditions stemming from financial market developments this summer.",2,2007-10-18
"For Canada, the Bank assumes that the cost of credit for firms and households relative to the overnight rate will be 25 basis points higher over the projection period than it was prior to the summer.",2,2007-10-18
"Despite these tighter credit conditions, momentum in domestic demand in Canada is expected to remain strong.",3,2007-10-18
"The combined effect of a weaker US outlook and a higher assumed level for the Canadian dollar implies, however, that net exports will exert a more significant drag on the economy in 2008 and 2009 than previously expected.",2,2007-10-18
"As a result, the Canadian economy is projected to grow by 2.6 per cent in 2007, 2.3 per cent in 2008, and 2.5 per cent in 2009.",2,2007-10-18
"With the economy moving back towards balance, and with the direct effect of the stronger Canadian dollar on consumer prices, core inflation is projected to gradually decline to 2 per cent in the second half of 2008 - slightly earlier than previously expected - and to remain there for the balance of the projection period.",2,2007-10-18
Higher energy prices are expected to push total inflation up sharply in the fourth quarter of 2007 to about 3 per cent.,2,2007-10-18
Inflation is then expected to fall back to the 2 per cent target in the second half of next year and to stay there.,2,2007-10-18
A number of the risks identified in the July Update have been realized to some extent.,2,2007-10-18
"Stronger household demand in Canada, a sharper adjustment in the US housing sector, and a stronger Canadian dollar have been reflected in the Bank's new base-case projection.",2,2007-10-18
But significant upside and downside risks to the Bank's inflation projection remain.,2,2007-10-18
"On the upside, excess demand in the Canadian economy could persist longer than projected.",1,2007-10-18
This could come from two sources: higher growth in household spending than projected and lower growth in productivity than assumed.,2,2007-10-18
"On the downside, if the Canadian dollar were to persist above the level of 98 cents US assumed over the projection horizon for reasons not associated with stronger-than-projected demand for Canadian products, this would result in lower output and inflation.",1,2007-10-18
"In addition, the effect of the past appreciation of the Canadian dollar on demand and inflation could be greater than expected, and the effect of the weakness in the US housing sector could be larger than projected.",2,2007-10-18
"All factors considered, the Bank judges that the risks to its inflation projection are roughly balanced, with perhaps a slight tilt to the downside.",1,2007-10-18
"In addition, the duration and economic repercussions of recent financial market developments and the possibility of a disorderly unwinding of global imbalances represent an uncertainty for the outlook.",2,2007-10-18
"Against this backdrop, the Bank left its key policy rate unchanged on 5 September and 16 October at 4.50 per cent.",2,2007-10-18
"The Bank judges, at this time, that the current level of the target for the overnight rate is consistent with achieving the inflation target over the medium term.",2,2007-10-18
The underlying rate of inflation has been above 2 per cent over the past year.,2,2007-10-18
"Total CPI inflation, which has also been running above 2 per cent since the spring, fell temporarily to 1.7 per cent in August as a result of fluctuations in the prices of some of the more volatile components.",2,2007-10-18
"The core rate of inflation, a more reliable indicator of the underlying trend in inflation than total CPI inflation, has averaged 2.3 per cent over the past few months, as projected in the July Update.",2,2007-10-18
This reflected ongoing pressures on production capacity in the economy.,1,2007-10-18
Other measures of the trend rate of inflation that the Bank monitors also stayed above 2 per cent in July and August.,2,2007-10-18
The influence of strong domestic demand was particularly evident in the prices of core services.,2,2007-10-18
"Shelter costs rose somewhat more strongly than projected, with greater-than-expected strength outside Alberta.",2,2007-10-18
"Core food prices have also continued to rise markedly, owing to the ongoing surge in the prices of grains and oilseeds.",1,2007-10-18
"The downward pressure on the core rate coming from lower prices for many import-intensive goods (such as semi-durable and household durable goods) eased still further, but price discounting on automobiles increased.",2,2007-10-18
"The 12-month rate of increase in the total CPI was below that projected, owing to the prices of some of the more volatile components.",2,2007-10-18
"This included gasoline prices, which reflected narrower margins as a result of a faster-than-anticipated return of North American production to more normal levels following supply disruptions last spring.",2,2007-10-18
Natural gas prices were also weaker.,2,2007-10-18
Key measures of inflation expectations remain close to 2 per cent.,2,2007-10-18
The average private sector forecast for total CPI inflation in 2008 is just above 2 per cent.,2,2007-10-18
"In the Bank's autumn Business Outlook Survey, over 80 per cent of firms expected CPI inflation to be within a range of 1 to 3 per cent, on average, over the next two years.",2,2007-10-18
Consensus forecasts of inflation over the longer term continued to be very close to 2 per cent.,2,2007-10-18
"Growth in Canada's real GDP picked up markedly in the first half of 2007, rising at an annual rate of 3.7 per cent.",3,2007-10-18
"At 3.4 per cent, the increase in real GDP in the second quarter was stronger than the 2.8 per cent projected in the July Update.",3,2007-10-18
This unexpected strength reflected stronger household spending and a smaller-than-expected drag from net exports.,3,2007-10-18
Available information for the third quarter suggests that final domestic demand remained strong but that the drag from net exports increased.,2,2007-10-18
"Current data also suggest that real GDP is likely to have grown by about 2.5 per cent, slightly less than the 2.7 per cent projected in the last Update.",2,2007-10-18
Final domestic demand continued to be the major contributor to GDP growth in the first half of 2007.,2,2007-10-18
"Real personal disposable income rose solidly, boosted by the strong labour market.",3,2007-10-18
"Household net worth continued to rise, reflecting the improvement in Canada's terms of trade and substantial increases in house prices.",3,2007-10-18
And household credit again increased considerably.,2,2007-10-18
"These developments underpinned marked increases in household spending, including residential investment.",3,2007-10-18
"In contrast, the growth of capital spending by businesses slowed appreciably.",1,2007-10-18
"In particular, spending in the oil and gas industry eased, largely as a result of the impact of lower natural gas prices on conventional drilling activity.",2,2007-10-18
"Canada's total exports increased moderately in the first half of 2007, with strong gains in exports of energy commodities and products.",2,2007-10-18
"Weaker sales of US motor vehicles, however, contributed to a decrease in Canadian exports of automotive products, while the downturn in the US housing market held back exports of forest products.",1,2007-10-18
"At the same time, imports rose more strongly than exports, reflecting the strength of domestic demand and the appreciation of the Canadian dollar over the past few years.",2,2007-10-18
"Nevertheless, the drag on growth coming from net exports in the second quarter of 2007 was less than expected.",2,2007-10-18
"This outcome appears to have been caused by transitory developments, since early information for the third quarter points to a marked reduction in net exports.",2,2007-10-18
"Hours worked in the business sector showed a year-over-year rise of 1.6 per cent in the second quarter of 2007, slightly less than the average growth over the previous three years.",2,2007-10-18
"This slight reduction in the growth of hours worked mainly reflected a decrease in the average workweek, while job creation remained relatively robust.",2,2007-10-18
"Labour productivity growth in the business sector rose at 0.9 per cent at annual rates in the second quarter of this year, which was still modestly lower than the average growth over the 2004-06 period.",2,2007-10-18
"This may be partly attributable to the shift of labour and capital towards the production of both commodities and non-tradable goods and services, since labour and capital may be somewhat less productive during such a period of adjustment.",2,2007-10-18
"In the resource sector, relatively high commodity prices continued to encourage the production of resources that are more costly to extract, lowering productivity from what would have otherwise been the case.",2,2007-10-18
The Bank estimates potential output over history by decomposing movements in labour supply and labour productivity into their trend and cyclical components.,2,2007-10-18
"After updating its conventional measure with the most recent information, the Bank estimates that potential output growth over the 2004-06 period averaged about 2.5 per cent, marginally less than previously estimated.",2,2007-10-18
Most indicators suggest that the Canadian economy is operating further above its production potential than was projected at the time of the July Update.,2,2007-10-18
The Bank's autumn Business Outlook Survey showed that the percentage of firms reporting that they would have difficulty in meeting an unanticipated increase in demand remained at a high level.,1,2007-10-18
"The Bank's conventional measure of the output gap indicates that the economy was operating about 0.8 per cent above its production potential in the third quarter of 2007, slightly higher than projected in the July Update.",2,2007-10-18
"On the other hand, Statistics Canada's measure of capacity utilization in the non-farm, goods-producing sector indicated that pressure on production capacity was somewhat below average in the second quarter of 2007.",2,2007-10-18
"However, the fact that the core rate of inflation has averaged above 2 per cent since September 2006 supports the assessment that the economy was operating above its production capacity.",2,2007-10-18
"In September, the employment-to-population ratio matched a record high, while the unemployment rate was at a 33-year low.",2,2007-10-18
All measures of wages have picked up in recent months and are now more consistent with other indicators of tightness in labour markets.,2,2007-10-18
The 12-month change in average hourly earnings of permanent workers reported by Statistics Canada in the Labour Force Survey (considered to be a good indicator of the underlying change in aggregate wages) moved back up to between 3 and 4 per cent over the June to September period.,2,2007-10-18
The year-to-year rise in hourly labour compensation from Statistics Canada's Productivity Accounts - a more volatile indicator - also increased even more markedly to 5.7 per cent in the second quarter of 2007.,2,2007-10-18
"With the strong gains in hourly compensation in the business sector, unit labour costs in the second quarter of 2007 were up 4.8 per cent from their level a year earlier.",2,2007-10-18
The percentage of firms reporting labour shortages in the Bank's autumn survey was up from the preceding survey.,2,2007-10-18
"After reviewing all the indicators of capacity pressures, it is the Governing Council's judgment that, overall, the economy was operating about 0.75 of a per cent above its production capacity in the third quarter of 2007.",2,2007-10-18
"Over the past few months, global prices for non-energy commodities have eased a little from the peak reached in May, but, overall, remain at high levels.",1,2007-10-18
"Metals prices fell back, partly reflecting the tightening in global credit conditions, but have since recovered.",2,2007-10-18
"As well, the ongoing downturn in the US housing market has contributed to further reductions in the demand for lumber.",1,2007-10-18
"In contrast, grains and oilseeds prices have continued to strengthen, owing mainly to the impact of unfavourable weather conditions on global supplies.",2,2007-10-18
"The price of light crude oil (West Texas Intermediate), which was about US$72 per barrel at the time of the July Update, averaged US$81 in the 10 days ending on 12 October 2007.",2,2007-10-18
This increase chiefly reflected the combination of continued vigorous global demand and relatively little adjustment in short-term supply.,2,2007-10-18
"Canada's terms of trade rebounded in the first half of 2007, reflecting substantial gains in the prices of non-energy commodities.",2,2007-10-18
"As a result, the four-quarter change in the chain price index for GDP (a broad price measure of the goods and services produced in Canada) increased from 0.9 per cent in the fourth quarter of 2006 to 3.5 per cent in the second quarter of 2007.",2,2007-10-18
"With the chain price index for domestic demand growing at a slower 2.5 per cent pace in the second quarter, this implies a boost in real incomes in Canada.",2,2007-10-18
"The terms of trade are expected to stay high in the second half of 2007, and this should contribute to sustained growth in nominal GDP and, hence, in corporate profits and government tax revenues.",2,2007-10-18
"In recent months, greater-than-anticipated losses related to US subprime mortgages have triggered a number of developments in global financial markets.",2,2007-10-18
"There has been greater uncertainty about the valuation of structured financial products, and investors have shifted into lower-risk government bonds and treasury bills, causing credit spreads to increase.",2,2007-10-18
"Financial institutions and businesses in major industrialized countries, including Canada, have faced higher short-term interest rates.",2,2007-10-18
"Against the background of these developments, the Bank of Canada has undertaken routine operations on a number of occasions to provide liquidity in support of the efficient functioning of Canada's financial markets and to maintain the overnight rate close to the 4.50 per cent target.",2,2007-10-18
"Although the dislocations in financial markets have diminished somewhat since August, heightened uncertainty is still affecting money markets.",1,2007-10-18
Canadian financial institutions are facing substantially increased funding needs.,2,2007-10-18
"With the recent disruptions in securitization markets, banks have taken steps to support their own asset-backed commercial paper programs and, as a result, most are holding substantially higher-than-normal amounts of this paper in inventory.",1,2007-10-18
"In addition, banks are being called upon to provide loans and backup credit under pre-committed lines to corporations that have stopped accessing market funding.",2,2007-10-18
"While Canadian banks have sufficient capital and liquidity available to meet their funding commitments, they are incurring higher funding costs, which have led to tighter credit conditions.",1,2007-10-18
"This tightening is reflected in the price, availability, and terms of credit for businesses and households.",1,2007-10-18
"For some businesses, however, the upward pressure on the overall cost of capital emanating from higher borrowing costs has been mitigated somewhat by some downward pressure on the cost of equity financing, given buoyant stock markets.",2,2007-10-18
Growth of both business and household credit accelerated in July and August from already robust levels.,2,2007-10-18
"Since then, banks have modestly tightened their terms of credit to firms and the pricing of credit to both firms and households.",2,2007-10-18
